year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2021,Accenture,Indianapolis, IN,Data Scientist,1,Data,16000,0,0,13000,0,3000
2021,Bank of America,Charlotte, NC,Data Scientist,1,data science,15000,1,1,15000,0,3000
2020,PayPal,Chennai, TN,Data Scientist,1,Data,30000,4,2,22000,8000,0
2021,Verizon,Chennai, TN,Data Scientist,1,Analytics,35000,8,1,32000,1000,3000
2021,Accenture,Dublin, NH,Data Scientist,1,General,34000,0,0,34000,0,0
2020,McKinsey,Brazil, IN,Data Scientist,1,ML / AI,36000,2,1,34000,0,2000
2021,PayPal,Chennai, TN,Data Scientist,1,Global data science,54000,4,0,37000,13000,4000
2021,PwC,Ireland, IN,Data Scientist,1,General,38000,3,2,38000,0,2000
2021,Accenture,Amsterdam, NH,Data Scientist,1,General,44000,2,2,41000,0,2000
2021,IBM,Barcelona, CT,Data Scientist,1,Data,49000,17,3,45000,0,4000
2021,Accenture,Boston, MA,Data Scientist,1,Data Science,54000,2,0,54000,0,0
2020,IBM,Columbia, MO,Data Scientist,1,Data,60000,2,2,60000,0,0
2021,DAZN Group,Amsterdam, NH,Data Scientist,1,machine learning,61000,3,1,61000,0,0
2021,DAZN Group,Amsterdam, NH,Data Scientist,1,Machine Learning,61000,3,1,61000,0,0
2020,KPMG,Washington, DC,Data Scientist,1,Data,63000,2,1,63000,0,1000
2019,Nielsen,Tampa, FL,Data Scientist,1,ML / AI,65000,2,2,65000,0,0
2020,Qualtrics,Provo, UT,Data Scientist,1,Full Stack,70000,1,1,66000,0,3000
2021,Siemens,Mississippi State, MS,Data Scientist,1,Data Analyst,70000,2,1,68000,0,0
2020,PwC,Dallas, TX,Data Scientist,1,ML / AI,69000,0,0,69000,0,0
2021,Ernst and Young,Atlanta, GA,Data Scientist,1,Forensic Data Analytics,78000,1,1,70000,0,8000
2020,Google,Atlanta, GA,Data Scientist,1,Anlytics,100000,0,0,70000,20000,10000
2020,Nielsen,Tampa, FL,Data Scientist,1,ML / AI,78000,1,1,70000,0,8000
2019,ADP,Norfolk, VA,Data Scientist,1,Distributed Systems (Back-End),72000,2,2,72000,0,1000
2020,T-Mobile,Bellevue, WA,Data Scientist,1,Data,80000,2,2,72000,3000,5000
2021,IBM,Rochester, MN,Data Scientist,1,Finance,73000,2,2,73000,0,0
2021,Carrier,Boston, MA,Data Scientist,1,General,74000,2,2,74000,0,0
2020,Zalando,Berlin Center, OH,Data Scientist,1,ML / AI,74000,3,1,74000,0,0
2020,Allstate,Chicago, IL,Data Scientist,1,Marketing,75000,3,3,75000,0,0
2021,Booz Allen Hamilton,Arlington, VA,Data Scientist,1,Data,75000,3,0,75000,0,0
2020,Merck,Philadelphia, PA,Data Scientist,1,ML / AI,81000,0,0,75000,0,6000
2021,JP Morgan Chase,Chicago, IL,Data Scientist,1,Analytics,84000,2,2,77000,0,7000
