,Year,Company,City,State,Title,Salary Level,Area,Total Annual Compensation,Years of Experience,Years at Company,Base Salary,Stock Grant Value,Bonus,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College
104,2020,CBRE,San Jose, CA,Business Analyst,1,Operations,80000,10,3.0,80000,0,0,0,0,0,0,1
105,2020,Cisco,San Jose, CA,Business Analyst,1,Networking,87000,0,0.0,80000,0,7000,0,1,0,0,0
106,2020,Cisco,San Jose, CA,Business Analyst,1,Networking,85000,0,0.0,80000,0,5000,0,0,0,0,0
107,2020,Cisco,San Jose, CA,Business Analyst,1,Analytics,80000,1,0.0,80000,0,0,0,0,0,0,0
108,2020,CVS Health,Irving, TX,Business Analyst,1,Analytic,96000,20,9.0,80000,4000,12000,0,1,0,0,0
109,2021,Deloitte,Philadelphia, PA,Business Analyst,1,Security,95000,1,1.0,80000,0,15000,0,1,0,0,0
110,2020,Deloitte,Washington, DC,Business Analyst,1,Production,82000,3,1.0,80000,0,2000,0,0,0,0,0
111,2020,Discover,Deerfield, IL,Business Analyst,1,Analytic,84000,3,3.0,80000,0,4000,0,0,0,0,0
112,2021,Goldman Sachs,Dallas, TX,Business Analyst,1,Analytic,97000,1,1.0,80000,0,17000,1,0,0,0,0
113,2021,goPuff,Philadelphia, PA,Business Analyst,1,data analyst,92000,3,3.0,80000,4000,8000,1,0,0,0,0
114,2021,JPMorgan Chase,Wilmington, DE,Business Analyst,1,General,85000,3,1.0,80000,0,0,1,0,0,0,0
115,2020,JPMorgan Chase,Plano, TX,Business Analyst,1,Analytic,85000,5,1.0,80000,0,5000,1,0,0,0,0
116,2021,Kla,San Jose, CA,Business Analyst,1,Operations,88000,3,0.0,80000,0,8000,0,0,0,0,0
117,2021,Morgan Stanley,New York, NY,Business Analyst,1,General,95000,1,1.0,80000,0,15000,0,0,0,0,0
118,2021,Slalom,Dallas, TX,Business Analyst,1,Product,87000,1,1.0,80000,0,7000,1,0,0,0,0
119,2020,Wayfair,Boston, MA,Business Analyst,1,Operations,97000,1,0.0,80000,9000,8000,0,1,0,0,0
120,2021,Wayfair,Boston, MA,Business Analyst,1,Operations,97000,2,1.0,80000,9000,8000,0,1,0,0,0
121,2020,Wayfair,Boston, MA,Business Analyst,1,Analytic,108000,2,2.0,80000,20000,8000,0,0,0,0,0
122,2020,Splunk,Boulder, CO,Business Analyst,1,Marketing,100000,5,2.0,81000,12000,8000,0,0,0,0,0
123,2021,Facebook,Menlo Park, CA,Business Analyst,1,Analytic,102000,3,2.0,82000,0,20000,0,1,0,0,0
124,2020,Google,Mountain View, CA,Business Analyst,1,Partnerships,110000,1,1.0,82000,16000,12000,0,0,0,0,0
125,2020,Uber,San Francisco, CA,Business Analyst,1,Operations,100000,5,2.0,83000,10000,5000,0,0,0,0,0
126,2021,Verizon,Basking Ridge, NJ,Business Analyst,1,Analytic,93000,4,1.0,83000,2000,10000,0,1,0,0,0
127,2021,Expedia,Seattle, WA,Business Analyst,1,Finance,94000,7,4.0,84000,0,10000,0,1,0,0,0
128,2020,Lam Research,Livermore, CA,Business Analyst,1,Operations,94000,2,2.0,84000,2000,8000,1,0,0,0,0
129,2021,Thermo Fisher Scientific,Frederick, MD,Business Analyst,1,Security,92000,4,4.0,84000,0,8000,0,0,0,0,0
130,2020,Airbnb,Portland, OR,Business Analyst,1,Operations,125000,5,1.0,85000,30000,10000,0,1,0,0,0
131,2021,Allstate,San Francisco, CA,Business Analyst,1,Data Analyst,100000,2,2.0,85000,0,15000,0,0,0,0,0
132,2021,Boeing,Seattle, WA,Business Analyst,1,Analytic,95000,5,5.0,85000,0,10000,0,0,0,0,0
133,2021,Fidelity Investments,Boston, MA,Business Analyst,1,Financial Services,102000,2,2.0,85000,2000,15000,0,1,0,0,0
134,2021,SAP,Newtown Square, PA,Business Analyst,1,Sales Operations,96000,6,6.0,85000,0,12000,0,1,0,0,0
135,2021,SAP,Newtown Square, PA,Business Analyst,1,Sales Operations,96000,6,6.0,85000,0,11000,0,1,0,0,0
136,2020,Twitter,San Francisco, CA,Business Analyst,1,Internal,89000,1,1.0,85000,0,4000,0,1,0,0,0
137,2021,Visa,San Francisco, CA,Business Analyst,1,Analytic,90000,0,0.0,85000,0,5000,0,0,0,0,0
138,2020,Wayfair,Boston, MA,Business Analyst,1,Operations,100000,2,1.0,85000,5000,9000,0,0,0,0,0
139,2020,Cisco,San Jose, CA,Business Analyst,1,Operations,88000,6,2.0,86000,0,2000,1,0,0,0,0
140,2020,EY,New York, NY,Business Analyst,1,Tech consulting,86000,4,2.0,86000,0,5000,1,0,0,0,0
141,2021,Accenture,New York, NY,Business Analyst,1,Strategy and Consulting,97000,0,0.0,87000,0,10000,0,1,0,0,0
142,2021,Oliver Wyman,New York, NY,Business Analyst,1,Operations,93000,1,1.0,87000,0,6000,0,0,0,0,0
143,2020,U.S. Bank,Portland, OR,Business Analyst,1,Operations,92000,11,8.0,87000,0,6000,0,1,0,0,0
144,2020,Blue Origin,Seattle, WA,Business Analyst,1,Operations,88000,4,3.0,88000,0,0,0,0,0,0,0
145,2020,Capital one,Washington, DC,Business Analyst,1,None,102000,0,0.0,88000,0,13000,0,0,0,0,0
146,2020,Capital One,Washington, DC,Business Analyst,1,ML / AI,95000,1,1.0,88000,0,7000,0,1,0,0,0
147,2020,Capital One,Washington, DC,Business Analyst,1,Data,99000,0,0.0,88000,0,11000,0,1,0,0,0
148,2020,Capital One,Fairfax, VA,Business Analyst,1,Data,95000,0,0.0,88000,0,7000,0,0,0,0,0
149,2020,Capital One,Washington, DC,Business Analyst,1,Analyst,91000,0,0.0,88000,0,3000,0,0,0,0,0
150,2021,Deloitte,San Diego, CA,Business Analyst,1,Analytic,90000,3,1.0,88000,0,2000,0,1,0,0,0
151,2020,Goldman Sachs,New York, NY,Business Analyst,1,Operations,98000,1,1.0,88000,0,10000,0,1,0,0,0
152,2020,Quest diagnostics,Secaucus, NJ,Business Analyst,1,Analytic,90000,3,3.0,88000,0,2000,1,0,0,0,0
153,2021,Capital One,Richmond, VA,Business Analyst,1,Data,91000,0,0.0,89000,0,2000,0,0,0,0,0
154,2020,Capital One,Washington, DC,Business Analyst,1,Analytics,95000,1,1.0,89000,0,6000,0,0,0,0,0
155,2021,Adobe,San Jose, CA,Business Analyst,1,FP&A,112000,3,2.0,90000,13000,9000,0,1,0,0,0
