year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2021,Facebook,Menlo Park, CA,Business Analyst,1,Analytic,102000,3,2,82000,0,20000
2020,Google,Mountain View, CA,Business Analyst,1,Partnerships,110000,1,1,82000,16000,12000
2020,Uber,San Francisco, CA,Business Analyst,1,Operations,100000,5,2,83000,10000,5000
2021,Verizon,Basking Ridge, NJ,Business Analyst,1,Analytic,93000,4,1,83000,2000,10000
2021,Expedia,Seattle, WA,Business Analyst,1,Finance,94000,7,4,84000,0,10000
2020,Lam Research,Livermore, CA,Business Analyst,1,Operations,94000,2,2,84000,2000,8000
2021,Thermo Fisher Scientific,Frederick, MD,Business Analyst,1,Security,92000,4,4,84000,0,8000
2020,Airbnb,Portland, OR,Business Analyst,1,Operations,125000,5,1,85000,30000,10000
2021,Allstate,San Francisco, CA,Business Analyst,1,Data Analyst,100000,2,2,85000,0,15000
2021,Boeing,Seattle, WA,Business Analyst,1,Analytic,95000,5,5,85000,0,10000
2021,Fidelity Investments,Boston, MA,Business Analyst,1,Financial Services,102000,2,2,85000,2000,15000
2021,SAP,Newtown Square, PA,Business Analyst,1,Sales Operations,96000,6,6,85000,0,12000
2021,SAP,Newtown Square, PA,Business Analyst,1,Sales Operations,96000,6,6,85000,0,11000
2020,Twitter,San Francisco, CA,Business Analyst,1,Internal,89000,1,1,85000,0,4000
2021,Visa,San Francisco, CA,Business Analyst,1,Analytic,90000,0,0,85000,0,5000
2020,Wayfair,Boston, MA,Business Analyst,1,Operations,100000,2,1,85000,5000,9000
2020,Cisco,San Jose, CA,Business Analyst,1,Operations,88000,6,2,86000,0,2000
2020,EY,New York, NY,Business Analyst,1,Tech consulting,86000,4,2,86000,0,5000
2021,Accenture,New York, NY,Business Analyst,1,Strategy and Consulting,97000,0,0,87000,0,10000
2021,Oliver Wyman,New York, NY,Business Analyst,1,Operations,93000,1,1,87000,0,6000
2020,U.S. Bank,Portland, OR,Business Analyst,1,Operations,92000,11,8,87000,0,6000
2020,Blue Origin,Seattle, WA,Business Analyst,1,Operations,88000,4,3,88000,0,0
2020,Capital one,Washington, DC,Business Analyst,1,General,102000,0,0,88000,0,13000
